LAT	       LONG	     CARB1M_AVG	CARB30_AVG	ORGC1M_AVG	ORGC30C_AV	CLAY30_AVG	SAND30_AVG	SILT30_AVG	BULKD30_AV	CLAY1M_AVG	SAND1M_AVG	SILT1M_AVG	BULKD1M_AV
57.417	-2.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.417	-2.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.417	-2.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.417	-2.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.417	-1.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-6.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-6.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-6.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-5.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-5.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-5.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-5.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-5.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-4.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-4.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-4.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-4.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-4.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-4.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-3.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-3.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-3.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-3.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-3.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-3.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-2.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-2.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-2.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-2.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-2.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.250	-2.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-5.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-5.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-5.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-5.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-5.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-5.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-4.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-4.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-4.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-4.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-4.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-4.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-3.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-3.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-3.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-3.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-3.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-3.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.083	-2.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
